,Анекдоты
955,"— Охарактеризуйте себя тремя словами.
— Не понял вопроса.

"
956,"Поймал царь англичанина, француза и русского и сказал, что даст им задание, кто лучше всех выполнит - тому дочь в жены и полцарства в придачу. Задание такое, посадил он их на месяц в камеру и дал мешок сухарей и овчарку. Кто больше всех овчарку чему-либо научит, тот и победил. Проходит месяц. Выходит тощий англичанин и упитанная овчарка. Царь:
- Ну, чему научил?
- Сидеть, лежать.
Выходит среднего телосложения немец и такая же овчарка, он научил сидеть, лежать, голос, апорт.
Выходит упитанный русский и тощая собака. Царь просит продемонстрировать.
Русский:
- Голос.
Собака, жалобно заглядывая в глаза:
- Вань, дай сухарик, а?

"
957,"Путь к сердцу мужчины действительно лежит через желудок, однако через хуй.

"
958,"Одинокая женщина звонит в эскорт-службу:
- Скажите а у вас есть накачанные мужчины?
- Конечно!
- А накачанные и красивые?
- Все такие!
- А накачанные красивые и стильные?
- Есть!
- А вот из этих накачанных красивых и стильных есть такие, которые долго не кончают?
- Есть!
- А есть такие чтобы долго, долго, долго, долго не кончали!
- Есть такой, берёте?
- Да! Давайте!
Пол часа спустя. Звонок в дверь. Она открывает, а там стоит накачанныйкрасивый молодой, весь от Кавалли и Гуччи, даже носки Бриони и т.д.
Заходят в спальню, она ложится на кровать, а он в это время отшвыриваетцветы, и начинает ВСЁ НА СЕБЕ РВАТЬ, костюм в труху, рубашку на тряпки,всё рвёт на себе, она:
- ЧТО ВЫ ДЕЛАЕТЕ? ЗАЧЕМ ВЫ ЭТО РВЁТЕ?
- ДА ПОТОМУ ЧТО КОГДА Я КОНЧУ, ЭТО УЖЕ ВЫЙДЕТ ИЗ МОДЫ!!!

"
959,"—Моня–я–я! Иди домой!
—Мама, я замёрз?
—Нет, ты хочешь кушать!

"
960,"Звонок в дверь, на пороге маленький человек с огромным барабаном:
— Здесь Иванова хоронят?
Мужик:
— В общем-то Иванов — это я, но мне доктор сказал, что я еще поживу.

"
961,"Человек с барабаном разочарованно уходит. Через минуту звонок, на пороге тот же человек:
— А можно я у вас барабан оставлю?

"
962,"Класс, идёт урок. Кто-то на задней парте крутится, возится, мешает учителнице. Она кричит:
-Кто это там крутится?
Ей в ответ:
-Земля!
-Кто сказал?!
-Галилео Галилей!

"
963,"Задают вопрос мужику:
-Что вы любите больше всего делать?
Он: Курить люблю,аж пиздец курить люблю,курил бы 24 часа в сутки,курил-курил-курил бы,аж не вынимал бы сигарету изо рта!!!
-А ну понятно,а что вы еще любите делать?
Он: Ебаться люблю,ебал-ебал бы 24 часа в сутки,да хоть сам бы в пизду залез,только чтоб голова торчала!!!
-Эй,а голова то зачем?
Он: говорю же курить люблю пиздец!!!

"
964,"В кабинет к психиатру заползает мужик с чем то в зубах. Психиатр:
- Ой, и кто это к нам пришел? Кошечка?
Мужик ползет в угол. Врач умилено следует за ним:
- Собачка?
Мужик провел рукой по плинтусу и пополз в другой угол. Врач не отставая:
- А, наверное ежик! Нет? Черепашка?
Мужик вынимает провод изо рта и говорит:
- Слышь, мужик, ты мне дашь спокойно Интернет провести или нет?!

"
965,"Идет по морю корабль. На мостике стоит старый бородатый капитан, в фуражке и прочими характерными атрибутами, и со смаком курит трубку. Тут появляется молодой юнга, встает недалеко и тоже начинает трубочку раскуривать. Капитан на него смотрит и говорит:
- Что куришь, салага?
- Табачок, товарищ капитан! Вот, самосад из дома, попробуйте!
Капитан берет трубочку, затягивается, выпускает кольца дыма и говорит:
- Эх, салага, херню ты куришь!
- А что вы курите, товарищ капитан?
Капитан делает смачную затяжку, выпускает несколько густых колец, щурится от удовольствия и говорит:
- Настоящий морской волк курит только волосы с лобка любимой женщины! А теперь марш на вахту, салага!
Ну юнга удивился, почесал затылок и убежал на службу.
А через 2 недели, после того как корабль вернулся в порт и снова ушел в плавание, встретились на том же месте вновь - капитан с трубкой и юнга. Юнга раскуривает свою трубочку, смачно затягивается, выпускает колечки, в общем ловит кайф по полной! Капитан на него смотрит и говорит:
- Ну что салага, что у тебя на этот раз за табачок?
- Это не табачок, товарищ капитан, а как вы и говорили волосы, с лобка любимой женщины! Хотите попробовать?
Капитан берет у юнги трубочку, делает затяжку, и вдруг начинает кашлять, кашлять и материться! Откашлявшись и вытерев слезы возвращает юнге трубочку и говорит:
- Близко к жопе берешь, салага!

"
966,"Плывет по морю тяжелый крейсер. На мостике стоит капитан и смотрит в бинокль на водную гладь. Вдруг он замечает под водой торпеду, идущую прямо в борт. Капитан зовет боцмана:
- Боцман, пойди в трюм и отвлеки команду, чтобы никто панику не поднял.
Боцман спускается вниз и говорит матросам:
- Спорим, что я хуем по стене ёбну и корабль развалится?
Команда соглашается. Боцман достает свой хуй, бьет им по стене. БАБАХ!!! Крейсер вдребезги. Среди обломков и человеческих тел за спасательный круг держится уцелевший боцман. К нему подплывает капитан:
- НУ, БЛЯДЬ, И УРОД ТЫ, БОЦМАН!!!ТОРПЕДА МИМО ПРОШЛА!!!!!

"
967,"Пошел мужик на охоту на медведя. Нашел берлогу выстрелил дуплетом, залазеет в нее а там медведь живой.
- Чо мужик убить меня хотел?
- Да... . .
- ну тогда выбирай или задеру или в жопу выебу.
Мужик подумал и согласился на второе.
Медведь его оттрахал, мужик вернулся в деревню, взял ружье помощнее и патронов побольше, вернулся к берлоге расстрелял всю. Залазит в нее а там тот же медведь живой и все повторятся.
Совсем злой мужик возвращается домой, берет гранаты, пулемет возвращается к берлоге закидывает гранатами, расстреливает из пулемета. Залазит опять а там в дыму сидит медведь и удивленно спрашивает: Мужик я понять не могу ты охотник или пидарас?

"
968,"Встречаются два охотника на медведей. Бывалый и молодой начинаюший.
Бывалый заикаясь учит новичка:
- За-заходиш в-в лес, г-главное не бояться.
И-дешь к бе-берлоге, г-главное не бояться.
За-заходиш в бе-берлогу, г-главное не бояться.
В-вдруг оттуда на т-тебя р-рожа з-здоровенная.Берешь г-говно и по роже ему, и по роже!
- Так подожди,а где я говно - то возьму?
- Г-говно будет, г-главное не бояться.

"
969,"Сидит бомж возле вокзала побирается. Идет новый русский, видит эту картину, ну у него в сердце что–то скакнуло, он подходит к бомжу, кидает ему 100 баксов и уходит в машину. Не успел он сесть, как подъезжает лимузин и от туда выходит Путин.
Владимир Владимирович подходит к бомжу и кричит:
— Толян! Привет, как дела? Куда пропал? Давай сегодня поужинаем!
Толя ему отвечает:
— Не Володя, не могу. Я работаю, давай вечерком.
Ну, они договорились, Путин сел в машину и уехал. Новый русский просто в шоке! Вдруг подъезжает второй лимузин, из него выходит Лукашенко и кричит бомжу:
— Толя, привет! Как дела? Куда пропал? Давай сегодня поужинаем!? Толя говорит:
— Сегодня не могу, я с Путиным договорился, давай завтра?
Ну, короче, они договорились. Новый русский тем временем выпал в ноль. Он подходит к бомжу и спрашивает:
— Откуда ты знаешь таких людей, ты же бомж?
— Я и не таких знаю!
— А папу римского ты знаешь?
— Ну, знаю.
Новый русский подумал и говорит:
— Давай так: я оплачиваю нам поездку в Рим, если я увижу, что ты стоишь на балконе с папой римским, то я дам тебе столько денег, что хватит твоим внукам в 13 поколении. Бомж согласился. На следующий день они приехали в Рим, на площади возле Ватикана миллионы людей, они прошли в первые ряды, новый русский остался, а Толя пошел. Он прошел всю охрану, его поприветствовали. Новый русский смотрит на балкон и видит, что Толя садится за стол к папе римскому и кушает с ним. Потом они встали и начали махать пришедшим на площадь людям. Вдруг Толя видит, что новый русский упал в обморок. На следующий день они встретились, и Толя спрашивает:
— Почему ты потерял сознание?
— Ну, я могу понять — Путин, могу понять — Лукашенко, но когда приехала китайская делегация и спросила у гида: “Кто это в белом рядом с Толиком стоит? ”

"
970,"В псих-больнице свихнувшийся математик бегает по коридору и орёт на всех:
— Я вас всех продифференцирую!
Все, естественно, шарахаются от него, и лишь один пациент спокойно сидит на стуле. Математик орёт ему:
— Я тебя продифференцирую!
— А я е в степени икс.

"
971,"- Вы бы вышли замуж за радикала?
- За ради чего?

"
972,"Внучек приходит домой и говорит бабушке:
- Мы сегодня на уроке проходили половые органы!
Бабушка услышав это сразу побежала к его матери:
- Ты знаешь, что твой сын на уроках изучает?
- Конечно, это у них в школьной програме.
Через час бабушка заходит к внучку в комнату, видит – он дрочит, и говорит ему:
- Пошли обедать, потом домашнее задание доделаешь.

"
973,"На одном корабле работал фокусник. Так как пассажиры постоянно менялись, он без перемены проделывал одни и те же фокусы. К его несчастью, капитанский попугай просмотрел его выступление достаточно раз и разгадал все секреты.
Во время каждого выступления попугай портил все фокусы своими криками
""Эта не та шляпа! Он прячет пиковую даму в кармане брюк! В коробке дырочка! "".
Фокусник сердился, но ничего не мог сделать, капитанский попугай все–таки...
Однажды корабль потерпел крушение, и только фокусник и попугай выжили и продолжали плавать в море на какой–то доске. Фокусник злобно смотрел на попугая, который, в свою очередь, недружелюбно косился на фокусника. Наконец, попугай не выдержал:
— Ну ладно, ладно, я сдаюсь! Где корабль?!

"
974,"Две престарелые проститутки обсуждают свою пенсию:
- У тебя сколько пенсия?
- 9000 рублей.
- Как так..? Ведь ебались в одни и те же смены все двадцать лет!
- Слушай, а ты когда хуи сосала - кончу глотала?
- Ну да, а что?
- Так у тебя ж, дура, за питание и высчитывают!

"
975,"Едут в купе три девушки. Одна говорит:
- Я люблю трахаться со спортсменами. Быстро прибежал, быстро трахнул, быстро
убежал. Вторая:
- А я - с военными. На счет раз пришел, на счет два трахнул, на счет три ушел.
Третья:
- А я люблю трахаться с индейцами. Дети природы. Трахаются как звери.
Тут поезд тормознул. Падает грузин с полки:
- Разрешите представиться - мастер спорта, майор Чингачгук!

"
976,"Заседает рада на Украине. Председатель:
- Москалей нема?
Из зала:
- Нема, нема!
- Точно нема?
- Точно нема
- Ну, можно и по-русски поговорить.

"
977,"— Доктор, я сломал ногу в двух местах!
— Вы запомнили эти места?
— Да!
— Больше туда не ходите.

"
978,"Высоко в горах мальчик спрашивает у грузинского дедушки:
- Дедушка, а сколько тебе лет?
- Сто пЭсят восЭм...
- А пьешь, куришь?!
- КонЭчно!!! А то я так никогда не здохну.

"
979,"— Алло! Здравствуйте. Я насчёт сарая...
— Извините, но это ракетная база, вы не туда попали!
— НЕТ, БЛЯТЬ, ЭТО ВЫ НЕ ТУДА ПОПАЛИ!

"
980,"Пошел мужик на охоту со своей собакой. Подстрелил утку, она упала в водоем. Собака побежала по воде, взяла утку и вернулась к хозяину. Мужик ошалел. Подстрелил еще одну утку, история повторилась.
На следующую охоту взял мужик друга. Подстрелил утку, собака опять-таки побежала по воде. Друг долго хмурился, а потом выкрикнул:
-Я понял! Она у тебя плавать не умеет!

"
981,"- Сергей у нас - амбидекстр!
- Кто?
- Сергей!

"
982,"Две подружки встречаются.
— Ну, как дела?
— У меня новый парень. Такой красавец мачо.
— Потрясающе!
— У него бентли, он меня каждый вечер забирает с работы и мы едем развлекаться в ночной клуб.
— Потрясающе!
— А ещё Эдуард уже купил нам билеты на самолёт: на следующей неделе мы летим в Лас-Вегас.
— Потрясающе!
— А у тебя что нового?
— Да вот, записалась на курсы хороших манер.
— И чему вас там учат?
— Сегодня, например, учили вместо «не пизди» говорить «потрясающе».

"
983,"Поженились модель-девушка и модель-парень. Первая брачная ночь, лежат в постели полчаса, час. Парень:
— Кать, я что-то не пойму, а нас ебать-то кто-нибудь будет?

"
984,"Медсестра заводит карточку пациентки.
- Замужем?
- Да. Во второй раз.
- Дети есть?
- Шестеро. Двое от первого мужа, двое от второго. И двое лично мои

"
985,"— Расскажи о себе.
— Ну, я ленивая и люблю поесть. Дальше лень рассказывать, пойду поем.

"
986,"Охотник собрался на охоту в тайгу, местности не знает, берёт с собой проводника из местных, идут по тайге — проводник впереди, прорубает чащу топором с длинным топорищем, охотник идёт за ним с ружьём, в спину дышит… Хлоп! Из чащи медведь на встречу. Проводник замер с поднятым топором, медведь тоже замер, проводник, не оборачиваясь, говорит охотнику вполголоса:
— Иди сюда…
Сзади тишина, он снова повторяет:
— Иди сюда!
Сзади опять тишина, он в третий раз уже аж шипит:
— ИДИ СЮДА, БЛЯТЬ!
Сзади голос охотника на пол-тона тише:
— Нахуй ты его зовёшь?!

"
987,"SMS-ка от жены - любовнице мужа:
""Ленка я купила мужу новые трусы. Будешь с ним - зацени"".
SMS-ка от любовницы жене:
""Там, в новых трусах, в кармашке ""Рафаэлло"" - это тебе""

"
988,"Перед новым годом бедный мальчик очень мерз и написал письмо Деду Морозу что он очень мерзнет и чтобы Дед Мороз ему на Новый Год подарил шапку, шарфик и теплые перчатки.
На почте увидели это письмо. Вскрыли и пожалели мальчика. Собрали кто сколько смог денег и купили шапку и шарфик, а на перчатки денег не хватило. И отправили подарок от Деда Мороза.
На следующий Новый Год мальчик снова написал письмо Деду Морозу:
- Дед мороз, большое спасибо, получил твой подарок - шапку и шарфик, а перчатки таки наверное на почте спиздили.

"
989,"— Господа, сколько раз я просил: если играете на похоронах, то хотя бы лица делайте грустные. Николай, это касается Вас в первую очередь! Да! И почему вы хлопали в ладоши?!
— Я тарелки дома забыл.

"
990,"Чукча закончил мединститут и делает полостную операцию.
- Скальпель!...Тампон!...Зажим!...Ну вот, опять ничего не получается....

"
991,"Девочка одна осталась дома и стала играть на пианино. Играет, играет, и вдруг видит: из него высунулся волосатый палец. Рассказала она вечером всё матери, а мать ей говорит:

"
992,"— Не играй, дочка, на пианино.

"
993,"Утром мать ушла, а девочка снова начала играть. Глядит: высовываются два волосатых пальца. Вечером на второй день мать ей опять говорит:

"
994,"— Не играй на пианино!

"
995,"Опять мать ушла, а девочка снова начала играть. Высунулись три волосатых пальца и язык. Заглянула девочка внутрь пианино — а там шимпанзе сидит, кривляется.

"
996,"Пошли Галя с Ваней в лес по грибы. Зашли подальше и Ванька давай к Гале приставать на предмет любви и ласк. А Галя не ведётся ни в какую. А надо сказать, что Галя девочка высокая, дебелая такая, а Ваня метр в прыжке с кепкой. Но настырный!! Ну и решила Галя его окончательно отморозить. Говорит:
— Ну хорошо, Ваня, дам! Только смотри. На спине не дам, платье вымажу мама лозины даст, на коленках как-то не солидно.. Давай так. Или стоя - или никак.
И Ванька соглашается! Снимает с брюк ремень, Гале на коленках затянул, в сосну Галю упёр, на ремень ногами взобрался да как вжарил, что аж шишки посыпались!
Галя обалдела, притихла и на пике наслаждения шепчет:
— Ох, Ванюшенька, леший тебя надоумил..
И тут из-за кустов раздаётся голос:
— Да я сам такое первый раз вижу!

"
997,"Умирает Папа Римский.
У ворот Рая встречает его Петр.
- Как зовут тебя? - спрашивает Петр.
- Я Папа Римский!
- Папа, папа, - шепчет себе под нос Петр, - сожалею, но папы римского у меня в списке нет...
- Но я же был заместителем Бога на земле!
- У Бога есть заместитель на земле?! - удивленно спрашивает Петр, - Странно, я ничего об этом не знаю...
- Я глава Католической Церкви!
- Католическая Церковь? Никогда не слышал о такой... Подождите, я спрошу у Шефа.
- Шеф, - спрашивает Петр у Бога, - там один чудак утверждает, что он ваш заместитель на земле, его зовут Папа Римский - вам это о чем-то говорит?
- Нет, - отвечает Бог, - но погоди, давай спросим у Иисуса.
Бог и Петр объясняют Иисусу ситуацию.
- Подождите, - говорит Иисус, - я сам с ним поговорю.

"
998,"Через 10 минут Иисус, смеясь до слез, приходит назад.
- Помните рыболовный кружок, который я организовал 2000 лет назад? Он до сих пор существует!

"
999,"Бежит ежик по лесу, радуется жизни, красота вокруг — птички поют, травка зелёная, цветочки кругом, солнышко светит. Нарвал букет цветов, бежит дальше. Вдруг видит — под деревом стоит мышка, вся в слезах, уши опущенные, короче говоря, в расстроенных чувствах. Ежик ей:
— Мышка,ты чего такая грустная? Глянь, какое все вокруг охуенное, не плачь, на тебе букет цветов!
Мышка:
— За что это мне цветы?
— Просто так, нравишься ты мне, хочу настроение поднять, порадовать, все такое.
— Просто так? Да это подъёбка какая-то наверно?
— Да нет же, от чистого сердца, бери, тебе говорят!
Мышка берёт букет :
— Ну не знаю... Оно конечно приятно, спасибо, ежик... Но, на всякий случай... пошел ты на хуй!

"
1000,"нашел в зимней куртке 100 рублей! что ни говори, збс работать в гардеробе

"
1001,"Мужик поймал Золотую рыбку. Ну и загадывает желание: чтобы все время хуй рос. Короче, живет - не нарадуется. Жизнь бьет ключом, от баб отбоя нет. Раз в год делает пластическую операцию (укорачивает). Прожил он свое и умер. Родственники поплакали, похоронили. Через год из могилы вылазит хуй. Ну неудобно как-то - срам из земли торчит - подрезали, а он через время опять... В общем родственники замахались подрезать и перезахоронили чувака хуем вниз. Проходит пять лет, на Мэнхэттэне трескается асфальт и оттуда вылазит... правильно, хуй! Его срезают, а он опять растет. Мэрия в шоке, объявляет тендер на избавление от напасти. Тендер выиграли армяне, поставив на этом месте палатку с шаурмой.

"
1002,"Маленький сын приходит к отцу и спрашивает:
— Папа, а пися растёт?
— Да, сынок, растёт. Ты растёшь - и она растёт. А почему ты спросил?
— К маме просто вчера сосед дядя Вова заходил. Он разделся, лёг на диван, а у него пися растёт, растёт, растёт... И если бы мама её сверху не придавила, так бы наверно и выросла до самого потолка!

"
1003,"Заблудился мужик в пустыне, ни воды, ни еды не осталось.
Вдруг видит, лампа лежит. Потёр мужик лампу, а оттуда джинн вылетел. Джинн ему и говорит:
- Ты спас меня, я выполню любое твоё желание
Мужик больше всего на свете хотел выбраться из пустыни.
Вот он и говорит джинну:
- Хочу домой
Джинн ему:
- Так пошли
Мужик:
- Хочу быстро
Джинн:
- Так побежали

"
1004,"Идёт мальчик-даун по лесу. вдруг видит на пеньке растёт большой красивый гриб. он подходит, протягивает руку, чтоб сорвать его и дебильным голосом произносит:

"
1005,"-Грибо-о-о-чек!

"
1006,"А гриб говорит ему человеческим голосом:

"
1007,"-Не рви меня, мальчик, я исполню любые 3 твои желания.
-Хочу быть норма-а-а-льным!

"
1008,"И вдруг он становится нормальным. от неожиданности и удивления он кричит:

"
1009,"-Обосраться! а-а-а(хватается за жопу) -ебануться!

"
1010,"Протягивает руку и говорит:

"
1011,"-Грибо-о-о-чек!

"
1012,"Апостол Пётр попросил Иисуса на время подменить его возле врат Рая. Стоит Иисус и видит, что какая-то душа хочет пройти в рай. Он её поймал и спрашивает:
- Ты кто?
- Я простой плотник, - сказала душа, - Я ничем не знаменит, но однажды у меня появился сын. Он появился необычным способом.
Тут Иисус заинтересовался и привстал. Плотник продолжал:
- Мой сын был ни на кого не похож. Он ходил по свету и совершал добрые дела, прошел через великие испытания и за это он стал известен всему миру.
- Папа? - не веря, спросил Иисус.
- Буратино?!

"
1013,"— Давай называть всё своими именами.
— Давай, пидор.

"
1014,"- Мама, мама, купи котёнка!
- Сёмочка, нет.
- Мама, ну мамуля, ну купи котёнка!
- Нет, Сёма, отстань.
- Мама, ну купи котёнка!
- Сёма! Иди продай котёнка кому-то другому!!!

"
1015,"К празднику 9 мая ветерана пригласили в школу для рассказа о боевых подвигах во время войны.
Старика посадили за стол и он еле шевелящимися губами начал свой рассказ...
""Сижу я в окопе...сверху немецкие самолеты как налетели и... я обосрался...""
Учительница: ""Нет, нет дети. Петр Петрович хотел сказать, что он испугался...""
Старик: ""Это я тогда испугался, а сейчас я обосрался!!!""

"
1016,"Нашел мужик подкову и думает: ""ох, хорошо, вот, сейчас домой приду, повешу"". Переворачивает её, а там конь.

"
1017,"Чукотский шаман начал хамить в очереди и пропустил пару ударов в бубен.

"
1018,"Молодой человек из провинции приехал в большой город и заходит в огромный торговый центр, чтобы попытаться устроиться там на работу.
Менеджер спрашивает: — Есть у вас какой-нибудь опыт работы продавцом?
Молодой человек с готовностью отвечает: — Конечно! Там, откуда я приехал, я работал продавцом!
Менеджеру явно понравился молодой человек: — Начинайте прямо сейчас работать.
Первый рабочий день был очень напряженным, но молодой человек справился.
По окончании работы к нему подошел менеджер и спрашивает: — Ну, и сколько человек у вас сегодня сделали покупки?
- Один.
- Один? У нас в торговом центре продавцы в среднем обслуживают от 20 до 30 покупок в день! Да-а! И какую же сумму оставил в нашем центре обслуженный вами покупатель?
- 102 516 долларов 17 центов.
- Что-о-о? 102 тысячи 516 долларов и 17 центов?! Что же вы ему продали?
- Сначала я ему продал маленький рыболовный крючок, затем средний и после уже самый крупный. Затем я продал ему самую модную удочку. Когда ему упаковывали эти покупки, я спросил, где он собирается рыбачить? Он ответил, что в Финском заливе. На это я ему сказал, что там без лодки не обойтись. Мы спустились в отдел лодок и я ему посоветовал купить двухмоторную дизельную лодку. Ему она понравилась, но он засомневался, что его спортивный автомобиль не сможет буксировать такую лодку. Мы пошли в автомобильный отдел, я и тут посоветовал ему джип с прицепом. Вот такие покупки сделал сегодня мой первый клиент.
Менеджер с квадратными глазами следил за рассказом своего нового продавца: — Вы хотите сказать, что этот покупатель пришел купить рыболовный крючок, а в итоге купил лодку и джип с прицепом?
- Нет, нет. Он пришел купить пачку тампонов для своей жены. А я ему сказал, что раз уж выходные дни все равно полетели в задницу, так уж лучше податься на рыбалку!

"
1019,"В аптеке
- Здравствуйте. У вас есть ацетилсалициловая кислота?
- Вы имеете в виду аспирин?
- Да, никак не могу запомнить это слово...

"
1020,"Приходит мальчик домой и жалуется маме:
- Мама, все говорят, что у меня рожа на жопу похожа.
- Да что ты, сынок, врут. Пойди у папы спроси. Он в комнате.
Подходит к папе сынок и говорит:
- Папа, все ребята говорят, что у меня рожа, как жопа.
- Да что ты, сынок, врут. Пойди у деда спроси. Он в колодец чистит.
Сынок подходит к колодцу и кричит вниз:
- Дедушка, дедуууушка......
Дед поднимает голову вверх и как заорет: НЕ СРАААТЬ!!!!!!

"
1021,"Приходит женщина в магазин и покупает один банан и один презерватив. На следующий день приходит опять и покупает один банан и один презерватив. И так целый месяц. Ну и однажды она купила один банан и два презерватива. Продавщица её спрашивает:
- Что, наконец-то парня себе нашли?
- Нет, подруга приезжает.

"
1022,"— Петька, приборы!
— Сорок, Василий Иваныч!
— Что сорок?
— А что приборы?

"
1023,"Полный автобус туристов уже несколько часов в пути, кондиционер не работает. Вдруг кто-то изрядно испортил воздух. Глаза у всех режет, народ в бешенстве орет: ""Дайте нам этого урода, мы разорвем его на мелкие куски"". Тут встает мужчина солидного вида:
— Спокойно, я потомственный экстрасенс и легко вычислю этого гада. Только мне нужна нитка длинной на весь автобус.
Народ засуетился достал где-то нитку. Экстрасенс:
— Теперь натяните нитку от начала и до конца салона и все возьмитесь за нитку. Все взялись?
— Да-а-а.
— Тот кто пернул, тоже взялся?
— Да.

"
1024,"В тамбовских ресторанах клиенты вместо чаевых просто не доедают порцию

"
1025,"Попали в племя к людоедам русский, пидор и хохол. Чтобы выбраться с острова, людоеды им ставят условия на выбор или:
1. 30.000 долларов
2. Анальный секс со всем племенем
3. Съесть мешок соли
Русский без разговоров отдал деньги, ему выдали байдарку и он уплыл.
Пидор говорит: ""Ну, мне не привыкать, ебите!"". После чего ему дали байдарку и он уплыл.
Хохол говорит: ""Тащите мешок соли!"" Съел половину, больше не может. Говорит: ""Ладно, бубукайте меня."" Прошла через него половина племени, хохол больше не может: ""Давайте соли."" Съел еще немного, кричит: ""Не, лучше ебите!"" Пропустил через себя еще несколько человек и говорит: ""Ну ладно, ладно, развели вы меня на деньги.""

"
1026,"В самолете блюет пассажир. Все смеются.
Стюардесса видит, что скоро потечет через край пакета и бежит за вторым. Когда вернулась, обнаруживает, что все блюют а один смеется.
Она спрашивает:
- В чем дело?
- Они думали что у меня через край польется, а я взял и отхлебнул.

"
1027,"Идет женщина из магазина - вся такая уставшая, в своих мыслях о работе и семье. Говорит: ""Так, молоко, хлеб, чай, колбасу купила...""

"
1028,"Вдруг из за кустов выскакивает эксгибиционист раскрывает плащ, а там - только голое тело! Она на него посмотрела - ""Тьфу! Яйца забыла купить!""

"
1029,"Приходит мужик к доктору и говорит:
- Доктор, мне кажется, что у меня в желудке завёлся паразит.
Ну сделали ему рентген, все дела - точно, паразит. Ну доктор и говорит:
- Чтобы его вывести, Вам нужно сесть на диету. Каждый день в течение месяца ешьте только порцию макарон с сосиской, запивайте это стаканом воды, а потом заедайте булочкой.
Мужик ушёл, через месяц возвращается и говорит:
- Доктор, я сделал всё, как вы сказали, что теперь?
- А теперь давайте покушаем.
Съели они вместе по порции макарон с сосиской, выпили по стакану воды, доктор громко говорит:
- Вот и всё.
Вдруг у мужика изо рта червь-паразит выглядывает и спрашивает:
- А булочка?

"
1030,"останавливает мент черный мерседес с тонированными стеклами. подходит к передней пассажирской двери, у которой опускается окно, просовывает туда голову, и окно поднимается. водитель выходит из машины, идет и снимает штаны мусору, ебет его в жопу, садиться обратно, отпускает мента и уезжает. мент в панике бежит к своему напарнику у поста и орет:
- ты номер, номер видел???
- таких номеров я даже в цирке не видел.

"
1031,"""Дедушка Мороз, выходи!"" - кричали дети, пританцовывая у туалета.

"
